date,team1,team2,winner,actual_team1_won,champion_prediction,ablation_prediction,challenger_prediction,champion_correct,ablation_correct,challenger_correct
2025-11-08,Timor-Leste,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-09,New Zealand,West Indies,New Zealand,1,0,0,0,False,False,False
2025-11-09,Timor-Leste,Myanmar,Myanmar,0,0,0,0,True,True,True
2025-11-11,Myanmar,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-11,Timor-Leste,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-12,Myanmar,Timor-Leste,Myanmar,1,1,1,1,True,True,True
2025-11-12,Qatar,Hong Kong,Qatar,1,0,1,1,False,True,True
2025-11-13,Hong Kong,Qatar,Hong Kong,1,0,0,0,False,False,False
2025-11-13,Myanmar,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-13,Timor-Leste,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-11-13,West Indies,New Zealand,New Zealand,0,0,0,0,True,True,True
2025-11-14,Myanmar,Timor-Leste,Myanmar,1,1,1,1,True,True,True
2025-11-16,United Arab Emirates,Oman,Oman,0,0,0,0,True,True,True
2025-11-18,Bahrain,Indonesia,Bahrain,1,1,1,1,True,True,True
2025-11-18,Zimbabwe,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-11-19,Bahrain,Indonesia,Bahrain,1,1,1,1,True,True,True
2025-11-20,Zimbabwe,Sri Lanka,Zimbabwe,1,0,0,0,False,False,False
2025-11-21,Indonesia,Bahrain,Bahrain,0,0,0,0,True,True,True
2025-11-22,Sri Lanka,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-11-23,Pakistan,Zimbabwe,Pakistan,1,1,1,1,True,True,True
2025-11-25,Bahrain,Malaysia,Malaysia,0,1,1,1,False,False,False
2025-11-25,Zimbabwe,Sri Lanka,Sri Lanka,0,0,0,0,True,True,True
2025-11-27,Ireland,Bangladesh,Ireland,1,1,0,0,True,False,False
2025-11-27,Sri Lanka,Pakistan,Sri Lanka,1,0,0,0,False,False,False
2025-11-28,Brazil,Argentina,Argentina,0,0,0,0,True,True,True
2025-11-29,Ireland,Bangladesh,Bangladesh,0,1,1,1,False,False,False
2025-11-29,Sri Lanka,Pakistan,Pakistan,0,0,0,0,True,True,True
2025-11-30,Argentina,Brazil,Argentina,1,1,1,1,True,True,True
2025-11-30,Thailand,Bahrain,Bahrain,0,0,0,0,True,True,True
2025-12-02,Ireland,Bangladesh,Bangladesh,0,1,1,1,False,False,False
2025-12-04,Nigeria,Zambia,Nigeria,1,1,1,0,True,True,False
2025-12-04,Sierra Leone,Rwanda,Rwanda,0,1,1,1,False,False,False
2025-12-05,Croatia,Spain,Spain,0,0,0,0,True,True,True
2025-12-05,Nigeria,Sierra Leone,Nigeria,1,1,1,1,True,True,True
2025-12-05,Zambia,Rwanda,Rwanda,0,0,0,0,True,True,True
2025-12-06,Croatia,Spain,Spain,0,0,0,0,True,True,True
2025-12-06,Nigeria,Rwanda,Nigeria,1,1,1,1,True,True,True
2025-12-06,Spain,Croatia,Spain,1,1,1,1,True,True,True
2025-12-06,Zambia,Sierra Leone,Zambia,1,0,0,0,False,False,False
2025-12-07,Croatia,Spain,Spain,0,0,0,0,True,True,True
2025-12-07,Sierra Leone,Nigeria,Nigeria,0,0,0,0,True,True,True
2025-12-07,Spain,Croatia,Spain,1,1,1,1,True,True,True
2025-12-07,Zambia,Rwanda,Rwanda,0,0,0,0,True,True,True
2025-12-08,Nigeria,Zambia,Nigeria,1,1,1,1,True,True,True
2025-12-08,Rwanda,Sierra Leone,Rwanda,1,1,1,1,True,True,True
2025-12-09,Bahrain,Bhutan,Bahrain,1,1,1,1,True,True,True
2025-12-09,India,South Africa,India,1,1,1,0,True,True,False
2025-12-09,Malaysia,Philippines,Malaysia,1,0,0,0,False,False,False
2025-12-09,Rwanda,Nigeria,Rwanda,1,0,0,0,False,False,False
2025-12-09,Sierra Leone,Zambia,Zambia,0,0,0,0,True,True,True
2025-12-09,Thailand,Indonesia,Indonesia,0,1,1,1,False,False,False
2025-12-10,Indonesia,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-12-10,Philippines,Singapore,Philippines,1,0,0,0,False,False,False
2025-12-11,Bahrain,Bhutan,Bahrain,1,1,1,1,True,True,True
2025-12-11,Nigeria,Sierra Leone,Nigeria,1,1,1,1,True,True,True
2025-12-11,Philippines,Indonesia,Philippines,1,1,1,1,True,True,True
2025-12-11,Singapore,Thailand,Singapore,1,1,1,1,True,True,True
2025-12-11,South Africa,India,South Africa,1,0,0,0,False,False,False
2025-12-11,Zambia,Rwanda,Zambia,1,0,0,0,False,False,False
2025-12-12,Bahrain,Bhutan,Bahrain,1,1,1,1,True,True,True
2025-12-12,Indonesia,Singapore,Singapore,0,0,0,0,True,True,True
2025-12-12,Nigeria,Zambia,Nigeria,1,1,1,1,True,True,True
2025-12-12,Rwanda,Sierra Leone,Rwanda,1,1,1,1,True,True,True
2025-12-12,Thailand,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-12-13,Bhutan,Bahrain,Bahrain,0,0,0,0,True,True,True
2025-12-13,Nigeria,Rwanda,Nigeria,1,1,1,1,True,True,True
2025-12-13,Singapore,Malaysia,Malaysia,0,0,0,0,True,True,True
2025-12-13,Thailand,Philippines,Philippines,0,0,0,0,True,True,True
2025-12-13,Zambia,Sierra Leone,Sierra Leone,0,1,1,1,False,False,False
2025-12-14,Nigeria,Rwanda,Nigeria,1,1,1,1,True,True,True
2025-12-14,South Africa,India,India,0,0,0,0,True,True,True
2025-12-14,Zambia,Sierra Leone,Zambia,1,1,1,1,True,True,True
2025-12-19,India,South Africa,India,1,1,1,1,True,True,True
2025-12-23,Indonesia,Cambodia,Indonesia,1,0,0,0,False,False,False
2025-12-23,Indonesia,Cambodia,Indonesia,1,1,0,0,True,False,False
2025-12-23,Myanmar,Bhutan,Bhutan,0,0,0,0,True,True,True
2025-12-24,Bhutan,Myanmar,Bhutan,1,1,1,1,True,True,True
2025-12-24,Cambodia,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-12-25,Indonesia,Cambodia,Indonesia,1,1,1,1,True,True,True
2025-12-26,Bhutan,Myanmar,Bhutan,1,1,1,1,True,True,True
2025-12-26,Cambodia,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-12-27,Bhutan,Myanmar,Bhutan,1,1,1,1,True,True,True
2025-12-27,Cambodia,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-12-27,Cambodia,Indonesia,Indonesia,0,0,0,0,True,True,True
2025-12-29,Bhutan,Myanmar,Bhutan,1,1,1,1,True,True,True
2025-12-29,Cambodia,Indonesia,Indonesia,0,0,0,0,True,True,True
2026-01-07,Sri Lanka,Pakistan,Pakistan,0,0,0,0,True,True,True
2026-01-11,Sri Lanka,Pakistan,Sri Lanka,1,0,0,0,False,False,False
2026-01-21,India,New Zealand,India,1,1,1,1,True,True,True
2026-01-23,Italy,Ireland,Ireland,0,0,0,0,True,True,True
2026-01-23,New Zealand,India,India,0,0,0,0,True,True,True
2026-01-25,Ireland,Italy,Ireland,1,1,1,1,True,True,True
2026-01-25,New Zealand,India,India,0,0,0,0,True,True,True
2026-01-26,Ireland,Italy,Italy,0,1,1,1,False,False,False
2026-01-27,West Indies,South Africa,South Africa,0,1,0,0,False,True,True
2026-01-28,New Zealand,India,New Zealand,1,0,0,0,False,False,False
2026-01-29,Ireland,United Arab Emirates,Ireland,1,1,0,0,True,False,False
2026-01-29,Pakistan,Australia,Pakistan,1,0,1,1,False,True,True
2026-01-29,West Indies,South Africa,South Africa,0,0,0,0,True,True,True
2026-01-30,Sri Lanka,England,England,0,0,0,0,True,True,True
2026-01-31,India,New Zealand,India,1,1,1,1,True,True,True
2026-01-31,Ireland,United Arab Emirates,Ireland,1,1,1,1,True,True,True
2026-01-31,Pakistan,Australia,Pakistan,1,1,1,1,True,True,True
2026-01-31,West Indies,South Africa,West Indies,1,0,0,0,False,False,False
2026-02-01,Pakistan,Australia,Pakistan,1,1,1,1,True,True,True
2026-02-01,Sri Lanka,England,England,0,0,0,0,True,True,True
2026-02-03,England,Sri Lanka,England,1,1,1,1,True,True,True
2026-02-07,India,United States of America,India,1,1,1,1,True,True,True
2026-02-07,Netherlands,Pakistan,Pakistan,0,0,0,0,True,True,True
2026-02-07,West Indies,Scotland,West Indies,1,0,0,0,False,False,False
2026-02-08,England,Nepal,England,1,0,0,0,False,False,False
2026-02-08,Sri Lanka,Ireland,Sri Lanka,1,1,1,1,True,True,True
2026-02-09,Oman,Zimbabwe,Zimbabwe,0,1,1,1,False,False,False
2026-02-09,Scotland,Italy,Scotland,1,0,0,0,False,False,False
2026-02-09,South Africa,Canada,South Africa,1,0,0,0,False,False,False
2026-02-10,Namibia,Netherlands,Netherlands,0,0,1,1,True,False,False
2026-02-10,Pakistan,United States of America,Pakistan,1,1,1,1,True,True,True
2026-02-10,United Arab Emirates,New Zealand,New Zealand,0,1,0,0,False,True,True
2026-02-11,Australia,Ireland,Australia,1,1,1,1,True,True,True
2026-02-11,Qatar,Bahrain,Qatar,1,0,0,0,False,False,False
2026-02-11,West Indies,England,West Indies,1,0,0,0,False,False,False
2026-02-12,India,Namibia,India,1,1,1,1,True,True,True
2026-02-12,Nepal,Italy,Italy,0,1,0,0,False,True,True
2026-02-12,Sri Lanka,Oman,Sri Lanka,1,0,0,0,False,False,False
2026-02-13,Canada,United Arab Emirates,United Arab Emirates,0,0,0,0,True,True,True
2026-02-13,Qatar,Bahrain,Qatar,1,0,0,0,False,False,False
2026-02-13,United States of America,Netherlands,United States of America,1,0,0,0,False,False,False
2026-02-13,Zimbabwe,Australia,Zimbabwe,1,0,0,0,False,False,False
2026-02-14,Ireland,Oman,Ireland,1,1,1,1,True,True,True
2026-02-14,New Zealand,South Africa,South Africa,0,0,0,0,True,True,True
2026-02-14,Qatar,Bahrain,Bahrain,0,1,1,1,False,False,False
2026-02-14,Scotland,England,England,0,0,1,1,True,False,False
2026-02-15,India,Pakistan,India,1,0,0,0,False,False,False
2026-02-15,Nepal,West Indies,West Indies,0,0,0,0,True,True,True
2026-02-15,Qatar,Bahrain,Qatar,1,1,0,0,True,False,False
2026-02-15,United States of America,Namibia,United States of America,1,1,1,1,True,True,True
2026-02-16,Australia,Sri Lanka,Sri Lanka,0,1,0,0,False,True,True
2026-02-16,England,Italy,England,1,1,1,1,True,True,True
2026-02-17,Canada,New Zealand,New Zealand,0,0,0,0,True,True,True
2026-02-17,Scotland,Nepal,Nepal,0,1,0,0,False,True,True
2026-02-18,India,Netherlands,India,1,1,1,1,True,True,True
2026-02-18,Pakistan,Namibia,Pakistan,1,1,1,1,True,True,True
2026-02-18,United Arab Emirates,South Africa,South Africa,0,0,0,0,True,True,True
2026-02-19,Sri Lanka,Zimbabwe,Zimbabwe,0,1,0,0,False,True,True
2026-02-19,West Indies,Italy,West Indies,1,0,0,0,False,False,False
2026-02-20,Oman,Australia,Australia,0,0,0,0,True,True,True
2026-02-22,England,Sri Lanka,England,1,1,1,1,True,True,True
2026-02-22,South Africa,India,South Africa,1,0,0,0,False,False,False
2026-02-23,West Indies,Zimbabwe,West Indies,1,1,1,1,True,True,True
2026-02-24,Pakistan,England,England,0,0,0,0,True,True,True
2026-02-25,Bhutan,Bahrain,Bahrain,0,0,0,0,True,True,True
2026-02-25,Japan,Thailand,Japan,1,1,1,1,True,True,True
2026-02-25,Kuwait,Hong Kong,Hong Kong,0,1,1,1,False,False,False
2026-02-25,New Zealand,Sri Lanka,New Zealand,1,1,1,1,True,True,True
2026-02-26,Bahrain,Japan,Japan,0,1,1,1,False,False,False
2026-02-26,Hong Kong,Kuwait,Hong Kong,1,1,1,1,True,True,True
2026-02-26,India,Zimbabwe,India,1,1,1,1,True,True,True
2026-02-26,Thailand,Bhutan,Thailand,1,0,0,0,False,False,False
2026-02-26,West Indies,South Africa,South Africa,0,0,0,0,True,True,True
2026-02-27,Bahrain,Thailand,Bahrain,1,1,1,1,True,True,True
2026-02-27,Japan,Bhutan,Japan,1,1,1,1,True,True,True
2026-02-27,New Zealand,England,England,0,0,0,0,True,True,True
2026-02-28,Bhutan,Thailand,Bhutan,1,0,0,0,False,False,False
2026-02-28,Pakistan,Sri Lanka,Pakistan,1,1,1,1,True,True,True
2026-03-01,Hong Kong,Kuwait,Kuwait,0,1,1,1,False,False,False
2026-03-01,West Indies,India,India,0,0,0,0,True,True,True
2026-03-01,Zimbabwe,South Africa,South Africa,0,0,0,0,True,True,True
2026-03-04,South Africa,New Zealand,New Zealand,0,1,1,1,False,False,False
2026-03-05,India,England,India,1,1,1,0,True,True,False
2026-03-07,Malaysia,Bahrain,Malaysia,1,0,0,0,False,False,False
2026-03-08,Argentina,Cayman Islands,Cayman Islands,0,0,0,0,True,True,True
2026-03-08,Bahrain,Malaysia,Bahrain,1,0,0,0,False,False,False
2026-03-08,India,New Zealand,India,1,1,1,1,True,True,True
2026-03-08,Mexico,Suriname,Mexico,1,1,1,1,True,True,True
2026-03-09,Argentina,Suriname,Argentina,1,1,1,1,True,True,True
2026-03-09,Lesotho,Botswana,Botswana,0,0,0,0,True,True,True
2026-03-09,Mexico,Cayman Islands,Cayman Islands,0,0,0,0,True,True,True
2026-03-10,Lesotho,Botswana,Botswana,0,0,0,0,True,True,True
2026-03-10,Malaysia,Bahrain,Bahrain,0,0,0,0,True,True,True
2026-03-11,Argentina,Mexico,Argentina,1,1,1,1,True,True,True
2026-03-11,Suriname,Cayman Islands,Cayman Islands,0,0,0,0,True,True,True
2026-03-12,Botswana,Lesotho,Botswana,1,1,1,1,True,True,True
2026-03-12,Cayman Islands,Mexico,Cayman Islands,1,1,1,1,True,True,True
2026-03-12,Suriname,Argentina,Argentina,0,0,0,0,True,True,True
2026-03-13,Botswana,Lesotho,Botswana,1,1,1,1,True,True,True
2026-03-14,Argentina,Mexico,Argentina,1,1,1,1,True,True,True
2026-03-14,Cyprus,Austria,Cyprus,1,0,0,0,False,False,False
2026-03-14,Suriname,Cayman Islands,Cayman Islands,0,0,0,0,True,True,True
2026-03-15,Argentina,Cayman Islands,Cayman Islands,0,0,0,0,True,True,True
2026-03-15,Botswana,Lesotho,Botswana,1,1,1,1,True,True,True
2026-03-15,Mexico,Suriname,Suriname,0,1,1,1,False,False,False
2026-03-15,New Zealand,South Africa,South Africa,0,0,0,0,True,True,True
2026-03-16,Cyprus,Austria,Austria,0,1,1,1,False,False,False
2026-03-17,New Zealand,South Africa,New Zealand,1,0,0,0,False,False,False
