date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2023-06-11,Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Rwanda,bat,T20,2023,Uganda
2023-06-13,Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,bat,T20,2023,Uganda
2023-06-13,Rwanda,Botswana,"Gymkhana Club Ground, Nairobi",Botswana,field,T20,2023,Rwanda
2023-06-14,Uganda,Botswana,"Gymkhana Club Ground, Nairobi",Uganda,bat,T20,2023,Uganda
2023-06-14,Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,bat,T20,2023,Kenya
2023-06-15,Rwanda,Uganda,"Gymkhana Club Ground, Nairobi",Uganda,field,T20,2023,Uganda
2023-06-15,Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,bat,T20,2023,Botswana
2023-06-17,Rwanda,Kenya,"Gymkhana Club Ground, Nairobi",Rwanda,bat,T20,2023,Kenya
2023-06-17,Botswana,Uganda,"Gymkhana Club Ground, Nairobi",Botswana,bat,T20,2023,Uganda
2023-06-18,Kenya,Uganda,"Gymkhana Club Ground, Nairobi",Kenya,bat,T20,2023,Uganda
2023-06-18,Botswana,Rwanda,"Gymkhana Club Ground, Nairobi",Botswana,bat,T20,2023,Rwanda
2023-06-19,Uganda,Rwanda,"Gymkhana Club Ground, Nairobi",Uganda,bat,T20,2023,Uganda
2023-06-19,Botswana,Kenya,"Gymkhana Club Ground, Nairobi",Botswana,bat,T20,2023,Kenya
2023-06-21,Uganda,Kenya,"Gymkhana Club Ground, Nairobi",Uganda,bat,T20,2023,Uganda
2023-06-23,Serbia,Turkey,"National Sports Academy, Sofia",Serbia,bat,T20,2023,Serbia
2023-06-23,Bulgaria,Serbia,"National Sports Academy, Sofia",Serbia,field,T20,2023,Serbia
2023-06-23,Croatia,Bulgaria,"National Sports Academy, Sofia",Bulgaria,field,T20,2023,Bulgaria
2023-06-24,Croatia,Turkey,"National Sports Academy, Sofia",Croatia,bat,T20,2023,Turkey
2023-06-24,Croatia,Serbia,"National Sports Academy, Sofia",Croatia,bat,T20,2023,Serbia
2023-06-24,Turkey,Bulgaria,"National Sports Academy, Sofia",Bulgaria,field,T20,2023,Bulgaria
2023-06-29,Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,T20,2023,Germany
2023-06-30,Austria,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,T20,2023,Germany
2023-07-10,France,Malta,Marsa Sports Club,Malta,field,T20,2023,France
2023-07-10,Malta,France,Marsa Sports Club,Malta,bat,T20,2023,Malta
2023-07-11,Malta,Luxembourg,Marsa Sports Club,Luxembourg,field,T20,2023,Malta
2023-07-11,France,Luxembourg,Marsa Sports Club,France,bat,T20,2023,France
2023-07-12,France,Malta,Marsa Sports Club,France,bat,T20,2023,France
2023-07-12,Luxembourg,France,Marsa Sports Club,Luxembourg,bat,T20,2023,France
2023-07-12,Malta,Luxembourg,Marsa Sports Club,Malta,bat,T20,2023,Luxembourg
2023-07-13,Romania,Switzerland,Marsa Sports Club,Switzerland,field,T20,2023,Switzerland
2023-07-13,Luxembourg,Malta,Marsa Sports Club,Malta,field,T20,2023,Malta
2023-07-13,France,Romania,Marsa Sports Club,France,bat,T20,2023,France
2023-07-14,Luxembourg,Switzerland,Marsa Sports Club,Switzerland,field,T20,2023,Switzerland
2023-07-14,Malta,Romania,Marsa Sports Club,Malta,bat,T20,2023,Malta
2023-07-14,France,Switzerland,Marsa Sports Club,France,bat,T20,2023,Switzerland
2023-07-14,Afghanistan,Bangladesh,N)-Afghanistan in Bangladesh T20I Series 2023 1st T20I (D/N)-Afghanistan in Bangladesh T20I Series 2023 T20I 1ST Sylhet International Cricket Stadium,,,T20,2023,Bangladesh
2023-07-15,France,Luxembourg,Marsa Sports Club,France,bat,T20,2023,Luxembourg
2023-07-15,Romania,Luxembourg,Marsa Sports Club,Romania,bat,T20,2023,Luxembourg
2023-07-15,Malta,Switzerland,Marsa Sports Club,Switzerland,field,T20,2023,Switzerland
2023-07-16,Luxembourg,Romania,Marsa Sports Club,Romania,field,T20,2023,Romania
2023-07-16,Afghanistan,Bangladesh,N)-Afghanistan in Bangladesh T20I Series 2023 2nd T20I (D/N)-Afghanistan in Bangladesh T20I Series 2023 T20I 2ND Sylhet International Cricket Stadium,,,T20,2023,Bangladesh
2023-07-16,Malta,Switzerland,Marsa Sports Club,Malta,bat,T20,2023,Switzerland
2023-07-16,France,Malta,Marsa Sports Club,France,bat,T20,2023,Malta
2023-07-20,Austria,Jersey,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,T20,2023,Jersey
2023-07-20,Scotland,Germany,"Goldenacre, Edinburgh",Germany,field,T20,2023,Scotland
2023-07-20,Ireland,Italy,"Goldenacre, Edinburgh",Italy,field,T20,2023,Ireland
2023-07-21,Denmark,Ireland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,T20,2023,Ireland
2023-07-21,Austria,Germany,"Goldenacre, Edinburgh",Austria,bat,T20,2023,Germany
2023-07-21,Scotland,Jersey,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Jersey,field,T20,2023,Scotland
2023-07-22,Vanuatu,Papua New Guinea,"Amini Park, Port Moresby",Vanuatu,bat,T20,2023,Papua New Guinea
2023-07-22,Japan,Philippines,"Amini Park, Port Moresby",Japan,bat,T20,2023,Japan
2023-07-23,Japan,Vanuatu,"Amini Park, Port Moresby",Vanuatu,field,T20,2023,Japan
2023-07-23,Denmark,Germany,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,bat,T20,2023,Germany
2023-07-23,Italy,Jersey,"Goldenacre, Edinburgh",Jersey,field,T20,2023,Italy
2023-07-23,Ireland,Austria,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Austria,field,T20,2023,Ireland
2023-07-24,Jersey,Ireland,"Goldenacre, Edinburgh",Ireland,field,T20,2023,Ireland
2023-07-24,Scotland,Italy,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,T20,2023,Scotland
2023-07-24,Austria,Denmark,"Goldenacre, Edinburgh",Denmark,field,T20,2023,Denmark
2023-07-25,Japan,Papua New Guinea,"Amini Park, Port Moresby",Japan,bat,T20,2023,Papua New Guinea
2023-07-25,Jersey,Germany,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Germany,field,T20,2023,Jersey
2023-07-25,Scotland,Austria,"Goldenacre, Edinburgh",Austria,field,T20,2023,Scotland
2023-07-25,Italy,Denmark,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,T20,2023,Italy
2023-07-25,Vanuatu,Philippines,"Amini Park, Port Moresby",Vanuatu,bat,T20,2023,Philippines
2023-07-26,Papua New Guinea,Vanuatu,"Amini Park, Port Moresby",Papua New Guinea,bat,T20,2023,Papua New Guinea
2023-07-26,Bhutan,Myanmar,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,T20,2023,Bhutan
2023-07-26,Japan,Philippines,"Amini Park, Port Moresby",Japan,bat,T20,2023,Japan
2023-07-26,China,Malaysia,"Bayuemas Oval, Kuala Lumpur",China,bat,T20,2023,Malaysia
2023-07-27,Malaysia,Bhutan,"Bayuemas Oval, Kuala Lumpur",Bhutan,field,T20,2023,Malaysia
2023-07-27,China,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,T20,2023,Thailand
2023-07-27,Scotland,Denmark,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,field,T20,2023,Scotland
2023-07-28,Scotland,Ireland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Ireland,field,T20,2023,Scotland
2023-07-28,Jersey,Denmark,"Goldenacre, Edinburgh",Denmark,field,T20,2023,Jersey
2023-07-28,Japan,Vanuatu,"Amini Park, Port Moresby",Vanuatu,field,T20,2023,Vanuatu
2023-07-28,Papua New Guinea,Philippines,"Amini Park, Port Moresby",Philippines,field,T20,2023,Papua New Guinea
2023-07-28,Thailand,Myanmar,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,T20,2023,Thailand
2023-07-28,Germany,Italy,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Italy,field,T20,2023,Italy
2023-07-29,Japan,Papua New Guinea,"Amini Park, Port Moresby",Japan,bat,T20,2023,Papua New Guinea
2023-07-29,Philippines,Vanuatu,"Amini Park, Port Moresby",Philippines,bat,T20,2023,Vanuatu
2023-07-30,Malaysia,Myanmar,"Bayuemas Oval, Kuala Lumpur",Myanmar,field,T20,2023,Malaysia
2023-07-30,Bhutan,China,"Bayuemas Oval, Kuala Lumpur",Bhutan,bat,T20,2023,Bhutan
2023-07-31,Myanmar,China,"Bayuemas Oval, Kuala Lumpur",China,field,T20,2023,China
2023-07-31,Bhutan,Thailand,"Bayuemas Oval, Kuala Lumpur",Thailand,field,T20,2023,Thailand
2023-08-01,Thailand,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,T20,2023,Malaysia
2023-08-03,West Indies,India,"Brian Lara Stadium, Tarouba, Trinidad",West Indies,bat,T20,2023,West Indies
2023-08-05,Hungary,Croatia,"GB Oval, Szodliget",Hungary,bat,T20,2023,Hungary
2023-08-06,India,West Indies,"Providence Stadium, Guyana",India,bat,T20,2023,West Indies
2023-08-06,Croatia,Hungary,"GB Oval, Szodliget",Croatia,bat,T20,2023,Hungary
2023-08-08,West Indies,India,"Providence Stadium, Guyana",West Indies,bat,T20,2023,India
2023-08-12,West Indies,India,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,bat,T20,2023,India
2023-08-13,India,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",India,bat,T20,2023,West Indies
2023-08-14,Guernsey,Germany,"Sportpark Het Schootsveld, Deventer",Germany,field,T20,2023,Germany
2023-08-14,Germany,Guernsey,"Sportpark Het Schootsveld, Deventer",Germany,bat,T20,2023,Guernsey
2023-08-15,Guernsey,Germany,"Sportpark Het Schootsveld, Deventer",Guernsey,bat,T20,2023,Guernsey
2023-08-17,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023,New Zealand
2023-08-18,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2023,Malta
2023-08-18,Ireland,India,"Malahide, Dublin",India,field,T20,2023,India
2023-08-19,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2023,Malta
2023-08-19,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2023,Romania
2023-08-19,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023,United Arab Emirates
2023-08-20,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2023,Romania
2023-08-20,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,T20,2023,Romania
2023-08-20,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,T20,2023,Uganda
2023-08-20,Tanzania,Uganda,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,T20,2023,Uganda
2023-08-20,India,Ireland,"Malahide, Dublin",Ireland,field,T20,2023,India
2023-08-20,New Zealand,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023,New Zealand
2023-08-21,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,T20,2023,Tanzania
2023-08-22,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2023,Uganda
2023-08-22,Rwanda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,T20,2023,Tanzania
2023-08-24,Uganda,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2023,Uganda
2023-08-24,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,T20,2023,Uganda
2023-08-25,Rwanda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,T20,2023,Tanzania
2023-08-25,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,T20,2023,Uganda
2023-08-27,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,T20,2023,Uganda
2023-08-27,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2023,Tanzania
2023-08-28,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,T20,2023,Uganda
2023-08-28,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Uganda,bat,T20,2023,Uganda
2023-08-30,New Zealand,England,"Riverside Ground, Chester-le-Street",England,field,T20,2023,England
2023-08-30,Australia,South Africa,"Kingsmead, Durban",South Africa,field,T20,2023/24,Australia
2023-08-30,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2023,Tanzania
2023-08-30,Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,T20,2023,Uganda
2023-08-31,Rwanda,Uganda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,T20,2023,Uganda
2023-08-31,Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,T20,2023,Tanzania
2023-09-01,England,New Zealand,"Old Trafford, Manchester",England,bat,T20,2023,England
2023-09-01,South Africa,Australia,"Kingsmead, Durban",Australia,field,T20,2023/24,Australia
2023-09-03,New Zealand,England,"Edgbaston, Birmingham",New Zealand,bat,T20,2023,New Zealand
2023-09-03,South Africa,Australia,"Kingsmead, Durban",South Africa,bat,T20,2023/24,Australia
2023-09-05,England,New Zealand,"Trent Bridge, Nottingham",England,bat,T20,2023,New Zealand
2023-09-15,Saudi Arabia,Kuwait,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,T20,2023,Kuwait
2023-09-15,Qatar,Bahrain,"West End Park International Cricket Stadium, Doha",Bahrain,field,T20,2023,Qatar
2023-09-16,Bahrain,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023,Kuwait
2023-09-18,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023,Qatar
2023-09-18,Saudi Arabia,Bahrain,"West End Park International Cricket Stadium, Doha",Saudi Arabia,bat,T20,2023,Bahrain
2023-09-19,Bahrain,Oman,"West End Park International Cricket Stadium, Doha",Oman,field,T20,2023,Bahrain
2023-09-19,Malaysia,Hong Kong,"Bayuemas Oval, Kuala Lumpur",Hong Kong,field,T20,2023,Malaysia
2023-09-20,United Arab Emirates,Qatar,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,T20,2023,United Arab Emirates
2023-09-20,Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023,Papua New Guinea
2023-09-22,Oman,Kuwait,"West End Park International Cricket Stadium, Doha",Oman,bat,T20,2023,Oman
2023-09-22,Malaysia,Hong Kong,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023,Malaysia
2023-09-22,Bahrain,United Arab Emirates,"West End Park International Cricket Stadium, Doha",Bahrain,bat,T20,2023,Bahrain
2023-09-23,United Arab Emirates,Oman,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,T20,2023,Oman
2023-09-23,Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023,Papua New Guinea
2023-09-24,Hong Kong,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Papua New Guinea,field,T20,2023,Papua New Guinea
2023-09-27,Nepal,Mongolia,Zhejiang University of Technology Cricket Field,Mongolia,field,T20,2023,Nepal
2023-09-28,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023/24,Kuwait
2023-09-29,Maldives,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023/24,Kuwait
2023-09-30,Panama,Cayman Islands,"White Hill Field, Sandys Parish",Panama,bat,T20,2023/24,Cayman Islands
2023-09-30,Bermuda,Canada,"White Hill Field, Sandys Parish",Canada,field,T20,2023/24,Bermuda
2023-09-30,Estonia,Gibraltar,Europa Sports Complex,Gibraltar,field,T20,2023,Gibraltar
2023-09-30,Gibraltar,Estonia,Europa Sports Complex,Estonia,field,T20,2023,Estonia
2023-10-01,Kuwait,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Kuwait,bat,T20,2023/24,Saudi Arabia
2023-10-01,Maldives,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,T20,2023/24,Qatar
2023-10-01,Panama,Bermuda,"White Hill Field, Sandys Parish",Panama,bat,T20,2023/24,Bermuda
2023-10-01,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,bat,T20,2023/24,Canada
2023-10-02,Maldives,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Maldives,bat,T20,2023/24,Saudi Arabia
2023-10-02,Qatar,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023/24,Kuwait
2023-10-03,Bermuda,Cayman Islands,"National Stadium, Hamilton",Bermuda,bat,T20,2023/24,Bermuda
2023-10-03,Pakistan,Hong Kong,Zhejiang University of Technology Cricket Field,Hong Kong,field,T20,2023,Pakistan
2023-10-03,India,Nepal,Zhejiang University of Technology Cricket Field,India,bat,T20,2023,India
2023-10-03,Canada,Panama,"National Stadium, Hamilton",Canada,bat,T20,2023/24,Canada
2023-10-04,Bangladesh,Malaysia,Zhejiang University of Technology Cricket Field,Bangladesh,bat,T20,2023,Bangladesh
2023-10-04,Afghanistan,Sri Lanka,in China) 2023 3rd Quarter-Final -Asian Games Men&#x27;s Cricket Competition (in China) 2023 T20I 3RD Zhejiang University of Technology Cricket Field,,,T20,2023,Afghanistan
2023-10-04,Maldives,Kuwait,"West End Park International Cricket Stadium, Doha",Kuwait,field,T20,2023/24,Kuwait
2023-10-04,Canada,Cayman Islands,"National Stadium, Hamilton",Canada,bat,T20,2023/24,Canada
2023-10-04,Panama,Bermuda,"National Stadium, Hamilton",Bermuda,field,T20,2023/24,Bermuda
